body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.711280,-0.010540,-0.019427,-0.702561,0.709734,-0.043037,-0.035794,-0.702243,0.754806,0.025533,0.049196,-0.653602,0.756426,-0.004207,0.002470,-0.654061,0.710891,-0.019487,-0.041162,-0.701826,-0.646877,-0.056251,-0.018401,0.760294,-0.646367,0.009243,0.020524,0.762695,-0.703658,-0.056957,-0.036003,0.707336,-0.685118,-0.100770,0.095052,0.715139,-0.366325,-0.627677,-0.192951,0.659240,-0.454003,-0.580740,-0.291971,0.609405,0.710572,-0.046388,0.090595,-0.696225,0.663755,0.245534,0.603653,-0.367076,0.590266,0.227502,0.621586,-0.462016
0.711280,-0.010540,-0.019427,-0.702561,0.709734,-0.043037,-0.035794,-0.702243,0.754806,0.025533,0.049196,-0.653602,0.756426,-0.004207,0.002470,-0.654061,0.710891,-0.019487,-0.041162,-0.701826,-0.646877,-0.056251,-0.018401,0.760294,-0.646367,0.009243,0.020524,0.762695,-0.703658,-0.056957,-0.036003,0.707336,-0.685118,-0.100770,0.095052,0.715139,-0.366325,-0.627677,-0.192951,0.659240,-0.454460,-0.580364,-0.292498,0.609170,0.710572,-0.046388,0.090595,-0.696225,0.663755,0.245534,0.603653,-0.367076,0.589989,0.228080,0.621309,-0.462458
0.711459,-0.010024,-0.019086,-0.702397,0.709914,-0.042753,-0.035468,-0.702094,0.754831,0.025681,0.049312,-0.653558,0.756453,-0.004058,0.002864,-0.654029,0.711068,-0.019077,-0.040942,-0.701671,-0.646915,-0.056771,-0.018769,0.760214,-0.646419,0.009172,0.020341,0.762656,-0.703445,-0.057702,-0.036330,0.707471,-0.684827,-0.101046,0.094728,0.715422,-0.365347,-0.628591,-0.193245,0.658825,-0.453988,-0.580943,-0.293508,0.608484,0.710544,-0.045848,0.090334,-0.696322,0.663782,0.246106,0.603478,-0.366932,0.589471,0.228857,0.621080,-0.463042
0.711459,-0.010024,-0.019086,-0.702397,0.709914,-0.042753,-0.035468,-0.702094,0.754831,0.025681,0.049312,-0.653558,0.756453,-0.004058,0.002864,-0.654029,0.711068,-0.019077,-0.040942,-0.701671,-0.646915,-0.056771,-0.018769,0.760214,-0.646419,0.009172,0.020341,0.762656,-0.703445,-0.057702,-0.036330,0.707471,-0.684827,-0.101046,0.094728,0.715422,-0.365347,-0.628591,-0.193245,0.658825,-0.453988,-0.580943,-0.293508,0.608484,0.710544,-0.045848,0.090334,-0.696322,0.663782,0.246106,0.603478,-0.366932,0.589241,0.229334,0.620851,-0.463406
0.711478,-0.009528,-0.018725,-0.702394,0.709944,-0.042376,-0.035030,-0.702109,0.754907,0.025906,0.049546,-0.653444,0.756542,-0.003726,0.002873,-0.653928,0.711085,-0.018769,-0.040459,-0.701690,-0.646913,-0.056910,-0.019176,0.760195,-0.646437,0.009242,0.020238,0.762643,-0.703174,-0.058217,-0.036865,0.707671,-0.684528,-0.101468,0.094178,0.715721,-0.364605,-0.629156,-0.193742,0.658551,-0.453651,-0.581285,-0.294407,0.607974,0.710402,-0.045445,0.090558,-0.696465,0.663524,0.246805,0.603225,-0.367345,0.588634,0.229866,0.620633,-0.464205
0.711478,-0.009528,-0.018725,-0.702394,0.709944,-0.042376,-0.035030,-0.702109,0.754907,0.025906,0.049546,-0.653444,0.756542,-0.003726,0.002873,-0.653928,0.711085,-0.018769,-0.040459,-0.701690,-0.646913,-0.056910,-0.019176,0.760195,-0.646437,0.009242,0.020238,0.762643,-0.703174,-0.058217,-0.036865,0.707671,-0.684528,-0.101468,0.094178,0.715721,-0.364605,-0.629156,-0.193742,0.658551,-0.453651,-0.581285,-0.294407,0.607974,0.710402,-0.045445,0.090558,-0.696465,0.663524,0.246805,0.603225,-0.367345,0.588634,0.229866,0.620633,-0.464205
0.711541,-0.008865,-0.018079,-0.702355,0.710018,-0.041974,-0.034825,-0.702068,0.754970,0.026271,0.049683,-0.653346,0.756613,-0.003772,0.002944,-0.653846,0.711148,-0.018301,-0.040210,-0.701653,-0.646871,-0.057375,-0.019474,0.760189,-0.646403,0.009080,0.020436,0.762669,-0.703148,-0.058686,-0.037163,0.707642,-0.684458,-0.102193,0.093924,0.715718,-0.364412,-0.629695,-0.194258,0.657990,-0.453947,-0.581633,-0.295003,0.607131,0.710479,-0.045045,0.090568,-0.696411,0.663616,0.247187,0.602895,-0.367465,0.588360,0.230027,0.620437,-0.464734
0.711651,-0.008215,-0.017472,-0.702268,0.710120,-0.041818,-0.034772,-0.701977,0.754906,0.026718,0.050032,-0.653375,0.756571,-0.003660,0.002937,-0.653894,0.711251,-0.018015,-0.039981,-0.701569,-0.646816,-0.057542,-0.019629,0.760219,-0.646343,0.009184,0.020766,0.762709,-0.703206,-0.059141,-0.037402,0.707534,-0.684433,-0.102683,0.093941,0.715669,-0.364363,-0.629966,-0.194345,0.657732,-0.454327,-0.581696,-0.295224,0.606678,0.710663,-0.044951,0.090406,-0.696250,0.663762,0.247282,0.602461,-0.367849,0.588182,0.229909,0.620056,-0.465525
0.711651,-0.008215,-0.017472,-0.702268,0.710120,-0.041818,-0.034772,-0.701977,0.754906,0.026718,0.050032,-0.653375,0.756571,-0.003660,0.002937,-0.653894,0.711251,-0.018015,-0.039981,-0.701569,-0.646816,-0.057542,-0.019629,0.760219,-0.646343,0.009184,0.020766,0.762709,-0.703206,-0.059141,-0.037402,0.707534,-0.684433,-0.102683,0.093941,0.715669,-0.364363,-0.629966,-0.194345,0.657732,-0.454327,-0.581696,-0.295224,0.606678,0.710663,-0.044951,0.090406,-0.696250,0.663762,0.247282,0.602461,-0.367849,0.588182,0.229909,0.620056,-0.465525
0.711751,-0.007570,-0.016786,-0.702191,0.710220,-0.041610,-0.034610,-0.701897,0.754863,0.027194,0.050459,-0.653373,0.756557,-0.003834,0.002994,-0.653910,0.711350,-0.017607,-0.039791,-0.701490,-0.646842,-0.057988,-0.019905,0.760155,-0.646376,0.009296,0.020507,0.762687,-0.703165,-0.059679,-0.037670,0.707516,-0.684286,-0.103110,0.094013,0.715739,-0.364223,-0.630286,-0.194308,0.657515,-0.454459,-0.581847,-0.295404,0.606348,0.710784,-0.044651,0.090042,-0.696193,0.663993,0.247515,0.602036,-0.367969,0.588173,0.229962,0.619715,-0.465964
