body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.001523,-0.019394,0.000315,-0.000450,-0.012486,0.001186,-0.000924,-0.004193,0.001721,-0.000867,-0.001154,0.001996,-0.000396,-0.015919,-0.000781,-0.000004,-0.008056,-0.000073,0.000116,-0.000276,0.000712,-0.001974,-0.021690,0.000574,-0.004216,-0.032985,0.000061,-0.005531,-0.026309,-0.000725,-0.003436,-0.014960,-0.002823,-0.004124,-0.031757,-0.002319,-0.000914,-0.027243,-0.002936,0.000993,-0.021211,-0.003927
-0.001841,-0.020369,0.000011,-0.000982,-0.014222,0.000708,-0.001281,-0.006176,0.001225,-0.001132,-0.002286,0.001590,-0.000940,-0.016752,-0.000882,-0.000520,-0.008783,-0.000157,-0.000337,-0.001015,0.000637,-0.002193,-0.022507,0.000251,-0.004311,-0.033460,-0.000290,-0.004893,-0.027452,-0.000835,-0.002128,-0.016794,-0.002709,-0.004217,-0.031289,-0.002372,-0.001255,-0.027580,-0.002938,0.000690,-0.023251,-0.003672
-0.002312,-0.021265,-0.000370,-0.001663,-0.015497,0.000146,-0.001673,-0.007711,0.000637,-0.001357,-0.002774,0.001114,-0.001632,-0.017249,-0.001077,-0.001186,-0.009066,-0.000326,-0.000993,-0.001424,0.000466,-0.002577,-0.023408,-0.000130,-0.004454,-0.033820,-0.000733,-0.004206,-0.028101,-0.001039,-0.001064,-0.018417,-0.002661,-0.004368,-0.031389,-0.002489,-0.001756,-0.028260,-0.002988,0.000309,-0.025519,-0.003487
-0.002862,-0.021923,-0.000780,-0.002403,-0.016027,-0.000439,-0.001943,-0.008558,0.000018,-0.001345,-0.002347,0.000626,-0.002380,-0.017300,-0.001336,-0.001710,-0.008819,-0.000537,-0.001335,-0.001234,0.000271,-0.003077,-0.024260,-0.000520,-0.004811,-0.034050,-0.001114,-0.003563,-0.028356,-0.001154,-0.000096,-0.019759,-0.002510,-0.004733,-0.032077,-0.002774,-0.002334,-0.029449,-0.003231,0.000039,-0.028071,-0.003540
-0.003378,-0.022354,-0.001176,-0.003095,-0.016002,-0.001006,-0.002034,-0.008997,-0.000599,-0.001104,-0.001320,0.000159,-0.003078,-0.017084,-0.001600,-0.001953,-0.008329,-0.000742,-0.001147,-0.000614,0.000117,-0.003579,-0.024987,-0.000886,-0.005405,-0.034177,-0.001339,-0.003083,-0.028568,-0.001091,0.000670,-0.021218,-0.002155,-0.005328,-0.033127,-0.003256,-0.002818,-0.031094,-0.003728,0.000094,-0.030812,-0.003897
-0.003750,-0.022674,-0.001507,-0.003646,-0.015856,-0.001509,-0.001982,-0.009413,-0.001158,-0.000762,-0.000220,-0.000240,-0.003633,-0.016894,-0.001794,-0.001985,-0.007956,-0.000879,-0.000619,0.000142,0.000062,-0.003957,-0.025575,-0.001190,-0.006099,-0.034312,-0.001396,-0.002864,-0.029115,-0.000879,0.000964,-0.023255,-0.001630,-0.006013,-0.034298,-0.003854,-0.003029,-0.032972,-0.004402,0.000596,-0.033405,-0.004496
-0.003929,-0.022993,-0.001733,-0.004013,-0.015940,-0.001909,-0.001832,-0.009983,-0.001604,-0.000378,0.000603,-0.000536,-0.004005,-0.016923,-0.001863,-0.001948,-0.007871,-0.000904,-0.000064,0.000868,0.000139,-0.004148,-0.026042,-0.001403,-0.006731,-0.034585,-0.001326,-0.002941,-0.030194,-0.000609,0.000578,-0.026056,-0.001047,-0.006629,-0.035492,-0.004461,-0.002908,-0.034888,-0.005129,0.001488,-0.035546,-0.005222
-0.003957,-0.023373,-0.001887,-0.004222,-0.016389,-0.002222,-0.001614,-0.010709,-0.001948,0.000064,0.000974,-0.000759,-0.004220,-0.017236,-0.001854,-0.001951,-0.008129,-0.000868,0.000300,0.001347,0.000274,-0.004185,-0.026429,-0.001560,-0.007222,-0.035056,-0.001236,-0.003315,-0.031742,-0.000417,-0.000522,-0.029449,-0.000565,-0.007102,-0.036755,-0.005043,-0.002603,-0.036800,-0.005836,0.002473,-0.037243,-0.005988
-0.003919,-0.023873,-0.002074,-0.004323,-0.017216,-0.002523,-0.001389,-0.011632,-0.002264,0.000506,0.000714,-0.000998,-0.004326,-0.017880,-0.001905,-0.002042,-0.008859,-0.000919,0.000369,0.001085,0.000283,-0.004158,-0.026812,-0.001764,-0.007529,-0.035700,-0.001286,-0.003960,-0.033487,-0.000483,-0.002255,-0.032970,-0.000397,-0.007393,-0.038159,-0.005622,-0.002353,-0.038712,-0.006499,0.003150,-0.038687,-0.006736
-0.003882,-0.024560,-0.002369,-0.004356,-0.018365,-0.002866,-0.001241,-0.012805,-0.002612,0.000788,-0.000210,-0.001311,-0.004361,-0.018890,-0.002121,-0.002202,-0.010128,-0.001160,0.000161,-0.000226,0.000042,-0.004131,-0.027302,-0.002084,-0.007579,-0.036479,-0.001604,-0.004799,-0.035041,-0.000959,-0.004469,-0.035962,-0.000737,-0.007438,-0.039753,-0.006175,-0.002214,-0.040534,-0.007075,0.003410,-0.039910,-0.007404
-0.003862,-0.025458,-0.002732,-0.004346,-0.019672,-0.003223,-0.001217,-0.014067,-0.002962,0.000800,-0.001372,-0.001635,-0.004351,-0.020148,-0.002455,-0.002358,-0.011611,-0.001520,-0.000164,-0.002042,-0.000351,-0.004111,-0.028006,-0.002470,-0.007302,-0.037434,-0.002177,-0.005681,-0.036066,-0.001833,-0.006918,-0.037795,-0.001620,-0.007171,-0.041593,-0.006598,-0.001972,-0.042091,-0.007490,0.003641,-0.040709,-0.007926
