joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.807878,-0.120234,0.054533,0.109673,0.055855,-0.049941,0.177147,-0.197648,0.215546,2.209537,0.325226,0.762454,0.823993,-0.500857,-0.098751,0.675497,-0.700326,0.169613,-0.149966,0.858278,-0.934427,0.486858,0.568983,-1.493951,1.128186,-0.353536,-0.218167,0.666798,-0.588789
-0.843612,-0.073519,0.079810,0.088787,0.039443,-0.073816,0.207644,-0.190703,0.196957,2.173240,0.216433,0.745461,0.831190,-0.499995,-0.063919,0.797081,-0.850971,0.170059,-0.132077,0.922261,-1.007908,0.445874,0.623347,-1.403881,1.043279,-0.365369,-0.203700,0.672738,-0.605424
-0.874808,-0.047862,0.101496,0.073879,0.024334,-0.089609,0.227063,-0.200381,0.178499,2.097059,0.203080,0.691817,0.803360,-0.504285,-0.083726,0.939110,-1.032382,0.168709,-0.127380,0.958708,-1.039999,0.415487,0.688184,-1.311769,0.965372,-0.370646,-0.190507,0.672738,-0.627138
-0.893688,-0.030070,0.112050,0.062084,0.020161,-0.096266,0.234018,-0.200465,0.161163,1.984491,0.253499,0.594042,0.712141,-0.510343,-0.108070,1.075233,-1.220647,0.162306,-0.129552,0.942660,-0.996496,0.380835,0.741819,-1.221696,0.899286,-0.365552,-0.177091,0.672149,-0.644650
-0.906409,-0.016211,0.117038,0.051845,0.020161,-0.098356,0.234018,-0.195752,0.144389,1.853727,0.335804,0.474202,0.589226,-0.517285,-0.134683,1.208404,-1.412340,0.153377,-0.135159,0.900366,-0.915196,0.344050,0.789855,-1.132642,0.839109,-0.355272,-0.163563,0.672149,-0.660061
-0.900470,0.014941,0.109003,0.037896,0.041734,-0.100405,0.232168,-0.160779,0.135737,1.683798,0.403886,0.320244,0.426682,-0.524473,-0.131945,1.254147,-1.479320,0.142416,-0.122420,0.803576,-0.789066,0.258821,0.726931,-1.055396,0.792607,-0.326185,-0.143296,0.668201,-0.661349
-0.889791,0.054029,0.097386,0.019099,0.053917,-0.109250,0.235909,-0.134013,0.127899,1.493338,0.437843,0.161069,0.259938,-0.528418,-0.164073,1.271644,-1.511839,0.135665,-0.117672,0.687358,-0.650333,0.172838,0.650832,-0.975820,0.743933,-0.290015,-0.120521,0.660589,-0.660730
-0.869632,0.108991,0.078606,-0.009396,0.049044,-0.131690,0.251797,-0.123662,0.121686,1.261812,0.403547,-0.008543,0.084788,-0.525874,-0.265933,1.232652,-1.475436,0.137335,-0.128907,0.532285,-0.486394,0.085348,0.548383,-0.891581,0.690918,-0.239681,-0.092728,0.644998,-0.656296
-0.813935,0.150968,0.055446,-0.026433,0.062760,-0.128149,0.250504,-0.131258,0.121232,0.981100,0.356914,-0.153584,-0.077093,-0.511167,-0.321040,1.176736,-1.413773,0.135731,-0.143046,0.379247,-0.329464,0.057342,0.477490,-0.761747,0.612012,-0.157079,-0.048017,0.620681,-0.650502
-0.740470,0.186451,0.030095,-0.037739,0.085772,-0.111617,0.240620,-0.147827,0.123658,0.675797,0.304111,-0.286338,-0.232339,-0.490378,-0.352770,1.112359,-1.339481,0.132489,-0.158635,0.227226,-0.176039,0.059077,0.422375,-0.609116,0.520163,-0.058343,0.005152,0.592000,-0.644027
