body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.002600,-0.006567,0.793821,0.116158,-0.004618,0.662863,0.104529,0.021514,0.358013,0.092704,0.057650,0.042813,-0.116705,-0.006601,0.658847,-0.095202,0.027347,0.355285,-0.075242,0.062637,0.040494,-0.003756,-0.001495,0.847715,0.128577,-0.047271,1.083164,0.175943,-0.056016,0.905408,0.195554,-0.089853,0.725263,-0.152294,-0.042002,1.074216,-0.183457,-0.040895,0.892688,-0.190648,-0.065646,0.710150
-0.003257,-0.006484,0.794861,0.115832,-0.005141,0.664156,0.105186,0.015730,0.358861,0.092668,0.057080,0.044333,-0.117025,-0.006640,0.659585,-0.095737,0.025493,0.355810,-0.075426,0.062396,0.041217,-0.004495,-0.001405,0.848752,0.127823,-0.047674,1.084119,0.175546,-0.056771,0.906476,0.195526,-0.090958,0.726438,-0.153043,-0.042201,1.075197,-0.184241,-0.041152,0.893673,-0.191015,-0.066685,0.711227
-0.004081,-0.005875,0.795912,0.115118,-0.005258,0.665263,0.105888,0.009508,0.359564,0.092856,0.056487,0.045856,-0.117738,-0.006357,0.660499,-0.096892,0.020888,0.356218,-0.075499,0.061994,0.042222,-0.005342,-0.000806,0.849804,0.126807,-0.047719,1.085141,0.175176,-0.057050,0.907680,0.194552,-0.093158,0.727949,-0.154043,-0.041602,1.076146,-0.185755,-0.040028,0.894710,-0.191550,-0.067775,0.712554
-0.004989,-0.005002,0.796970,0.114207,-0.005170,0.666285,0.106630,0.003065,0.360294,0.093220,0.055876,0.047541,-0.118650,-0.005915,0.661512,-0.098301,0.014887,0.356689,-0.075406,0.061468,0.043579,-0.006247,0.000047,0.850864,0.125797,-0.047239,1.086186,0.174939,-0.056690,0.908936,0.193418,-0.095421,0.729653,-0.155045,-0.040805,1.077127,-0.187317,-0.038536,0.895790,-0.191710,-0.069338,0.714086
-0.006405,-0.002966,0.797246,0.113095,-0.003891,0.666823,0.106798,-0.000832,0.360707,0.093452,0.055625,0.048592,-0.119747,-0.004132,0.661452,-0.100681,0.003849,0.355946,-0.075039,0.061136,0.044908,-0.007764,0.001877,0.851156,0.124095,-0.045654,1.086516,0.175399,-0.053468,0.909783,0.190778,-0.098593,0.731698,-0.156751,-0.039390,1.077205,-0.191097,-0.034764,0.896283,-0.191386,-0.073825,0.716117
-0.007898,-0.000866,0.797175,0.112224,-0.002578,0.667323,0.106859,-0.003886,0.361174,0.093600,0.055397,0.049582,-0.120590,-0.002262,0.660820,-0.103046,-0.008040,0.355178,-0.074502,0.060500,0.046779,-0.009428,0.003768,0.851100,0.122473,-0.044022,1.086358,0.176338,-0.049120,0.910270,0.188193,-0.101895,0.734044,-0.158389,-0.037996,1.077060,-0.195295,-0.030610,0.896722,-0.190656,-0.080344,0.719258
-0.009542,0.001361,0.796409,0.111833,-0.001199,0.667741,0.106775,-0.005223,0.361605,0.093631,0.055274,0.050238,-0.120912,-0.000217,0.659014,-0.105313,-0.021565,0.353960,-0.073237,0.059319,0.049053,-0.011383,0.005781,0.850342,0.121015,-0.042459,1.085191,0.178213,-0.042556,0.910058,0.185835,-0.105301,0.737043,-0.159886,-0.036817,1.076434,-0.200319,-0.025744,0.897032,-0.188853,-0.090526,0.724801
-0.011717,0.003659,0.794937,0.110899,0.000321,0.667472,0.106363,-0.006296,0.361371,0.093605,0.055425,0.050236,-0.121757,0.001928,0.656550,-0.105974,-0.030913,0.352542,-0.071485,0.055342,0.049504,-0.013849,0.007941,0.848869,0.119007,-0.041837,1.083114,0.178781,-0.037503,0.908875,0.181412,-0.111854,0.740606,-0.161913,-0.035813,1.075024,-0.204511,-0.022812,0.896241,-0.184357,-0.106567,0.733246
-0.014158,0.005992,0.793113,0.109686,0.001910,0.666867,0.105770,-0.007233,0.360821,0.093554,0.055723,0.049926,-0.122862,0.004123,0.653762,-0.105890,-0.038213,0.351013,-0.070125,0.049987,0.048808,-0.016569,0.010174,0.847036,0.116713,-0.041782,1.080548,0.178718,-0.033166,0.907228,0.176418,-0.119639,0.745149,-0.164213,-0.034999,1.073189,-0.208298,-0.020857,0.894839,-0.179415,-0.124549,0.745193
-0.017331,0.009476,0.789781,0.106839,0.004718,0.663895,0.104743,-0.011029,0.358106,0.093048,0.056695,0.048287,-0.125692,0.006060,0.650293,-0.107441,-0.046261,0.349184,-0.068612,0.047619,0.049104,-0.019809,0.013804,0.843688,0.113443,-0.042337,1.076246,0.177723,-0.031264,0.903886,0.169272,-0.129289,0.748521,-0.167475,-0.035196,1.069045,-0.212045,-0.021977,0.890740,-0.172110,-0.144410,0.758833
-0.020554,0.013592,0.785032,0.103935,0.007782,0.659551,0.104145,-0.018631,0.354499,0.092546,0.057416,0.046759,-0.128575,0.008109,0.645490,-0.109599,-0.056148,0.346743,-0.067616,0.045823,0.049798,-0.023136,0.018150,0.838915,0.109988,-0.042107,1.070520,0.175487,-0.029367,0.898723,0.162196,-0.137993,0.750559,-0.170932,-0.035611,1.063127,-0.214635,-0.024017,0.884489,-0.164819,-0.160560,0.771066
-0.023877,0.018975,0.777451,0.100927,0.011362,0.652517,0.104487,-0.033761,0.349696,0.092225,0.057611,0.046435,-0.131551,0.010386,0.638023,-0.112776,-0.069707,0.343108,-0.066794,0.044985,0.051554,-0.026631,0.023929,0.831291,0.106376,-0.040322,1.061913,0.170862,-0.027667,0.889712,0.156569,-0.145829,0.748999,-0.174553,-0.036470,1.053774,-0.214721,-0.027854,0.874136,-0.156431,-0.172725,0.776327
-0.027805,0.025072,0.767734,0.095930,0.015996,0.642145,0.105068,-0.052983,0.343977,0.091281,0.056658,0.047173,-0.136639,0.013405,0.629681,-0.116975,-0.080257,0.338833,-0.066478,0.044634,0.052401,-0.030398,0.030261,0.821565,0.102526,-0.035908,1.051710,0.163627,-0.022126,0.878340,0.155878,-0.144084,0.740678,-0.178376,-0.036134,1.042331,-0.212827,-0.028636,0.861445,-0.154452,-0.174621,0.765653
-0.032037,0.031526,0.756950,0.089960,0.021171,0.630275,0.106360,-0.073543,0.339580,0.089138,0.055388,0.051117,-0.142718,0.016786,0.620942,-0.121324,-0.089173,0.334443,-0.066042,0.044709,0.053166,-0.034298,0.036867,0.810784,0.098653,-0.030246,1.040654,0.155091,-0.014756,0.865821,0.157231,-0.136624,0.728112,-0.182144,-0.035280,1.029850,-0.209838,-0.027730,0.847789,-0.154950,-0.171133,0.746459
-0.036876,0.035601,0.748221,0.082604,0.023291,0.619895,0.109144,-0.094692,0.338614,0.084515,0.056676,0.061882,-0.150171,0.017334,0.614887,-0.125862,-0.094595,0.330866,-0.066568,0.044658,0.053180,-0.038515,0.041584,0.802007,0.094328,-0.024577,1.032175,0.147406,-0.002308,0.856998,0.159551,-0.112522,0.710228,-0.186405,-0.032063,1.020481,-0.211030,-0.018268,0.838320,-0.169662,-0.147815,0.714611
-0.041448,0.039066,0.740088,0.076061,0.024312,0.610819,0.112365,-0.114526,0.340359,0.077357,0.061109,0.079650,-0.156752,0.017558,0.609030,-0.129710,-0.099918,0.327474,-0.066915,0.044639,0.053434,-0.042607,0.045796,0.793790,0.089800,-0.018756,1.024626,0.141183,0.012456,0.850289,0.163378,-0.082337,0.694169,-0.190879,-0.027654,1.011998,-0.214670,-0.004462,0.830652,-0.188944,-0.116559,0.687432
-0.045484,0.041312,0.733146,0.071100,0.023150,0.604055,0.115113,-0.133757,0.344856,0.069154,0.070406,0.107932,-0.161766,0.017180,0.603416,-0.132654,-0.105010,0.324065,-0.067308,0.044791,0.053595,-0.046436,0.048984,0.786719,0.084818,-0.012655,1.019004,0.137954,0.031804,0.848079,0.171609,-0.041564,0.682699,-0.195833,-0.020787,1.005327,-0.222804,0.017991,0.827076,-0.217636,-0.073724,0.668245
-0.049315,0.043616,0.729200,0.066720,0.022045,0.600704,0.115542,-0.150050,0.352233,0.060444,0.082420,0.145541,-0.166221,0.017983,0.600289,-0.135174,-0.107093,0.322419,-0.067280,0.044667,0.053730,-0.050053,0.052081,0.782655,0.080814,-0.004413,1.016605,0.137675,0.057130,0.852246,0.189633,0.003348,0.684126,-0.199803,-0.010419,1.003357,-0.233297,0.048445,0.831770,-0.255063,-0.028485,0.666759
-0.053045,0.045949,0.726751,0.062607,0.020996,0.599094,0.114712,-0.164685,0.361309,0.052952,0.093304,0.190178,-0.170407,0.019395,0.598392,-0.137509,-0.107519,0.321564,-0.067036,0.044709,0.053819,-0.053559,0.055129,0.780091,0.077336,0.004849,1.015810,0.138480,0.084925,0.861183,0.211538,0.051616,0.695689,-0.203105,0.001675,1.003731,-0.243573,0.082559,0.842864,-0.295963,0.020342,0.678604
-0.057120,0.049779,0.731833,0.058855,0.022717,0.605435,0.111794,-0.172861,0.375913,0.045321,0.102763,0.237394,-0.174202,0.024068,0.602953,-0.139148,-0.100242,0.325215,-0.066867,0.044856,0.053808,-0.057568,0.059109,0.785155,0.074373,0.014443,1.021990,0.140891,0.112340,0.880271,0.239732,0.093285,0.726594,-0.205773,0.013149,1.011944,-0.255218,0.112413,0.864317,-0.340817,0.063080,0.710022
-0.060751,0.054123,0.739367,0.055748,0.025485,0.614380,0.108253,-0.179264,0.392895,0.039656,0.108891,0.284377,-0.177310,0.029674,0.609650,-0.140013,-0.089965,0.330166,-0.066645,0.045089,0.053641,-0.061204,0.063429,0.792699,0.072150,0.023748,1.030295,0.144294,0.136396,0.902906,0.266194,0.130059,0.765994,-0.207615,0.023248,1.022443,-0.266761,0.137757,0.890110,-0.381885,0.102014,0.752207
-0.063492,0.059495,0.751805,0.053964,0.030299,0.628481,0.103466,-0.182585,0.414086,0.035898,0.113092,0.327388,-0.179044,0.037159,0.620643,-0.139334,-0.073582,0.337857,-0.066431,0.045498,0.053603,-0.064099,0.068435,0.805202,0.071302,0.032683,1.042843,0.150485,0.155253,0.929478,0.291341,0.155136,0.812466,-0.208116,0.030745,1.037505,-0.280325,0.154873,0.921203,-0.418971,0.129138,0.804307
-0.064969,0.064672,0.766616,0.053747,0.035464,0.645170,0.098618,-0.184790,0.437290,0.033360,0.114428,0.361607,-0.179147,0.045203,0.633538,-0.136773,-0.049888,0.345510,-0.066386,0.045915,0.051582,-0.065864,0.073110,0.820092,0.071730,0.041328,1.057456,0.159861,0.168877,0.956821,0.316214,0.167305,0.862112,-0.207370,0.035981,1.054539,-0.295924,0.163650,0.954398,-0.452350,0.142738,0.861363
-0.065813,0.069752,0.782614,0.054294,0.040800,0.663176,0.093591,-0.186267,0.461581,0.031497,0.114999,0.391430,-0.178411,0.053566,0.647502,-0.133135,-0.022202,0.354252,-0.066570,0.046109,0.051571,-0.067066,0.077627,0.836166,0.072666,0.049993,1.073136,0.170325,0.179732,0.984766,0.338350,0.172084,0.913985,-0.206066,0.040194,1.072513,-0.311811,0.166799,0.988989,-0.480914,0.146181,0.921470
-0.063884,0.074003,0.794660,0.058881,0.045084,0.678673,0.091356,-0.188277,0.483095,0.030916,0.110130,0.400295,-0.173236,0.062014,0.656286,-0.127397,0.006772,0.358590,-0.066157,0.049194,0.049967,-0.065973,0.081221,0.848266,0.075277,0.058084,1.084817,0.187171,0.182523,1.006179,0.361868,0.159068,0.959912,-0.203163,0.043238,1.085786,-0.330472,0.159138,1.018271,-0.506370,0.131743,0.974490
-0.061660,0.078127,0.805076,0.063101,0.048996,0.692016,0.088660,-0.190036,0.502298,0.030188,0.103197,0.401525,-0.168340,0.069811,0.664266,-0.122262,0.031634,0.363949,-0.065326,0.058480,0.052717,-0.064400,0.084811,0.858703,0.078316,0.066462,1.094661,0.205267,0.181716,1.025399,0.381006,0.139505,1.003902,-0.199854,0.046997,1.097306,-0.347568,0.145733,1.045937,-0.525503,0.106719,1.024706
-0.058846,0.081996,0.812233,0.066749,0.052228,0.700930,0.085862,-0.191784,0.516838,0.029331,0.090331,0.387403,-0.164176,0.076231,0.670250,-0.119027,0.047547,0.368726,-0.062890,0.079542,0.057860,-0.061856,0.088357,0.865869,0.082530,0.074831,1.100727,0.226505,0.173974,1.040364,0.396439,0.109292,1.043742,-0.195552,0.051771,1.105420,-0.362225,0.124218,1.071041,-0.536839,0.067937,1.070524
-0.056066,0.085648,0.815460,0.069491,0.055080,0.704744,0.083283,-0.192414,0.524858,0.028380,0.070784,0.359874,-0.161240,0.080952,0.673307,-0.116974,0.057683,0.371186,-0.058765,0.110300,0.063565,-0.059030,0.092013,0.869091,0.086740,0.082677,1.102619,0.245978,0.160278,1.049507,0.402392,0.071109,1.075010,-0.191645,0.058098,1.108924,-0.371135,0.098425,1.089872,-0.536449,0.020299,1.105738
-0.053303,0.089191,0.816723,0.071791,0.057746,0.706010,0.080956,-0.192492,0.529660,0.027684,0.044234,0.328180,-0.158926,0.084825,0.674886,-0.115937,0.064904,0.372347,-0.054956,0.145465,0.071440,-0.056061,0.095720,0.870343,0.090963,0.090088,1.102497,0.262312,0.144833,1.059632,0.399027,0.034949,1.107800,-0.187859,0.065014,1.110218,-0.372566,0.073881,1.111350,-0.524330,-0.023612,1.145612
-0.051449,0.091120,0.811254,0.073559,0.059600,0.700333,0.079721,-0.190798,0.524084,0.027091,0.008075,0.285100,-0.157373,0.086041,0.669665,-0.111094,0.073960,0.367231,-0.048472,0.183326,0.075897,-0.054042,0.098039,0.864830,0.094104,0.093855,1.095619,0.270093,0.130488,1.052402,0.383900,0.002950,1.115451,-0.185287,0.069580,1.104403,-0.369937,0.063291,1.111098,-0.504483,-0.053748,1.155303
-0.048973,0.093720,0.803823,0.076569,0.062940,0.693062,0.079469,-0.186162,0.514895,0.027327,-0.034361,0.243509,-0.154517,0.088346,0.661991,-0.105808,0.087542,0.359719,-0.044527,0.217610,0.076815,-0.051531,0.100848,0.857362,0.098098,0.096822,1.086773,0.276112,0.116854,1.041224,0.366163,-0.023288,1.115886,-0.181692,0.073625,1.097055,-0.365500,0.056962,1.106888,-0.481975,-0.075525,1.158665
-0.045251,0.097664,0.792468,0.082037,0.069277,0.682626,0.081107,-0.175504,0.498510,0.028873,-0.083305,0.201531,-0.149064,0.092845,0.649442,-0.099278,0.110275,0.347855,-0.040823,0.246219,0.067531,-0.048033,0.104625,0.845984,0.103866,0.098348,1.073730,0.279896,0.101191,1.017644,0.346794,-0.049911,1.096283,-0.176119,0.076792,1.086416,-0.359285,0.052819,1.089220,-0.456868,-0.094514,1.140408
-0.042654,0.101184,0.784303,0.084149,0.075069,0.672176,0.080485,-0.159450,0.475190,0.031226,-0.136834,0.164441,-0.147605,0.095984,0.642243,-0.096206,0.125993,0.341914,-0.037974,0.259540,0.060692,-0.045053,0.108212,0.837834,0.107648,0.098509,1.065102,0.279466,0.083470,0.999030,0.330142,-0.076322,1.073971,-0.172459,0.079768,1.078584,-0.354140,0.047795,1.069996,-0.437125,-0.110021,1.116049
