body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.036970,-0.005262,0.008761,0.025737,0.001088,0.007867,0.010204,-0.001166,0.004439,0.013975,-0.001589,0.004784,0.022958,-0.000771,0.007886,0.021721,-0.001566,0.003230,0.000015,-0.000001,0.000003,0.038005,-0.006727,-0.008309,0.033409,0.000262,-0.010117,0.057046,-0.018833,-0.010255,0.056430,-0.002356,0.039933,0.015605,-0.012084,-0.004275,0.017203,-0.012458,-0.020329,-0.000895,0.007639,-0.076762
0.039501,-0.003872,0.006494,0.024576,-0.000138,0.005203,0.014436,-0.001469,0.003884,0.010363,-0.002499,0.003719,0.024006,-0.001104,0.005821,0.020711,-0.001270,0.001975,0.000073,-0.000006,0.000016,0.034950,-0.005515,-0.008107,0.032632,-0.004278,-0.009197,0.050799,-0.019418,-0.006129,0.048980,-0.007816,0.034846,0.012214,-0.009048,-0.005175,0.009304,-0.013369,-0.024241,-0.008225,0.005098,-0.067153
0.045025,-0.002606,0.005720,0.022170,-0.001512,0.003575,0.019422,-0.002209,0.003101,0.006884,-0.002664,0.002694,0.025215,-0.002069,0.005128,0.019800,-0.001825,0.001124,0.000284,-0.000027,0.000066,0.032703,-0.005398,-0.005732,0.032003,-0.009706,-0.006364,0.043767,-0.019869,-0.001072,0.040092,-0.012711,0.033784,0.008958,-0.006975,-0.004026,0.002725,-0.015060,-0.024255,-0.015373,0.004780,-0.055978
0.050967,-0.001350,0.005924,0.018378,-0.002699,0.002672,0.024674,-0.002998,0.001877,0.003920,-0.002057,0.001635,0.026363,-0.003578,0.005440,0.019697,-0.003116,0.000890,0.000852,-0.000098,0.000216,0.031430,-0.006552,-0.002360,0.030095,-0.015125,-0.003289,0.035553,-0.019944,0.002452,0.030880,-0.016036,0.033716,0.005786,-0.007431,-0.001257,-0.002041,-0.017685,-0.020482,-0.020579,0.004039,-0.043788
0.054873,-0.000012,0.006240,0.014049,-0.003554,0.002063,0.029855,-0.003629,0.000393,0.001730,-0.001200,0.000620,0.027421,-0.005189,0.005985,0.021013,-0.004674,0.001339,0.001951,-0.000293,0.000567,0.031514,-0.008633,0.000990,0.026252,-0.019124,-0.001261,0.026087,-0.018672,0.003173,0.022318,-0.016469,0.032321,0.003246,-0.011128,0.002745,-0.004004,-0.020809,-0.012998,-0.021918,0.001469,-0.029993
0.055773,0.001377,0.006048,0.010461,-0.004223,0.001560,0.034553,-0.004224,-0.001092,0.000201,-0.000582,-0.000417,0.028408,-0.006547,0.006134,0.023792,-0.006102,0.002318,0.003360,-0.000724,0.001207,0.033205,-0.011176,0.004015,0.020657,-0.020730,-0.000522,0.015937,-0.015606,0.001640,0.014798,-0.013581,0.029360,0.001465,-0.017113,0.007803,-0.002789,-0.023642,-0.001753,-0.018816,-0.002770,-0.013835
0.053909,0.002580,0.005289,0.008197,-0.004736,0.001172,0.037969,-0.004863,-0.002595,-0.001121,-0.000326,-0.001745,0.028880,-0.007394,0.005701,0.026745,-0.007067,0.003473,0.004201,-0.001477,0.002112,0.036136,-0.013647,0.006944,0.014030,-0.019512,-0.000425,0.006136,-0.011020,-0.000261,0.007857,-0.007840,0.026271,0.000027,-0.022886,0.013608,0.000603,-0.025202,0.012345,-0.012753,-0.007338,0.003655
0.049919,0.003268,0.004343,0.006806,-0.004758,0.000883,0.039296,-0.005287,-0.004309,-0.002686,-0.000281,-0.003472,0.028126,-0.007527,0.004913,0.027964,-0.007276,0.004426,0.003465,-0.002462,0.003057,0.039456,-0.015373,0.010021,0.007715,-0.015364,-0.000018,-0.002067,-0.005185,-0.000311,0.000807,0.000050,0.025070,-0.001021,-0.026153,0.019460,0.004656,-0.024861,0.026695,-0.005855,-0.010917,0.019300
0.044912,0.003309,0.003653,0.005715,-0.004023,0.000605,0.038694,-0.005165,-0.006156,-0.004654,-0.000190,-0.005167,0.026206,-0.006971,0.004161,0.026899,-0.006731,0.004936,0.001112,-0.003312,0.003657,0.042547,-0.015778,0.013305,0.003913,-0.008729,0.001560,-0.007499,0.002120,0.003219,-0.006340,0.009316,0.027557,-0.000517,-0.026836,0.024559,0.008724,-0.023305,0.037871,0.000888,-0.013573,0.029557
0.040604,0.002875,0.003347,0.005313,-0.002798,0.000265,0.037456,-0.004516,-0.007605,-0.006898,0.000181,-0.006045,0.024368,-0.006025,0.003666,0.025047,-0.005786,0.004892,-0.001650,-0.003529,0.003580,0.045442,-0.014707,0.016573,0.004908,-0.000850,0.004650,-0.009390,0.011111,0.010609,-0.012475,0.018743,0.033839,0.002996,-0.026773,0.028277,0.013028,-0.022381,0.043291,0.007524,-0.016718,0.032568
0.038637,0.002252,0.003061,0.006826,-0.001685,-0.000163,0.036954,-0.003659,-0.008071,-0.009126,0.000859,-0.005641,0.024008,-0.005006,0.003245,0.024386,-0.004813,0.004235,-0.003583,-0.002872,0.002781,0.048631,-0.012518,0.018903,0.011558,0.006539,0.008347,-0.007215,0.020811,0.019565,-0.015332,0.026398,0.040486,0.010021,-0.027209,0.029818,0.017616,-0.023404,0.042053,0.013856,-0.021473,0.028741
0.039919,0.001677,0.002232,0.011204,-0.001075,-0.000682,0.037721,-0.002876,-0.007383,-0.010746,0.001499,-0.004155,0.025577,-0.004063,0.002503,0.025708,-0.003962,0.003012,-0.004433,-0.001588,0.001549,0.052717,-0.009851,0.018584,0.022803,0.011862,0.010396,-0.000112,0.028619,0.025446,-0.011792,0.030045,0.041394,0.020021,-0.027247,0.027875,0.022192,-0.025817,0.034653,0.019205,-0.027249,0.019945
0.044455,0.001329,0.000679,0.018281,-0.000997,-0.001227,0.039450,-0.002345,-0.005678,-0.010951,0.001494,-0.001965,0.028649,-0.003316,0.001305,0.028571,-0.003318,0.001532,-0.004308,-0.000270,0.000287,0.058006,-0.007157,0.014144,0.036514,0.014548,0.008559,0.012638,0.032025,0.024014,0.000388,0.028636,0.032105,0.032124,-0.025127,0.021350,0.026962,-0.027774,0.022584,0.023471,-0.032075,0.008659
0.051349,0.001221,-0.001066,0.027236,-0.001416,-0.001600,0.041311,-0.002385,-0.002857,-0.009399,0.000429,0.001048,0.032780,-0.003071,0.000021,0.032311,-0.003168,0.000343,-0.002624,0.000383,-0.000704,0.064197,-0.004418,0.005747,0.050578,0.015523,0.002409,0.030195,0.030984,0.014611,0.020458,0.023794,0.013573,0.045282,-0.020470,0.010684,0.033002,-0.027660,0.008252,0.027885,-0.033954,-0.002514
0.058941,0.000941,-0.002142,0.037944,-0.002382,-0.001561,0.041952,-0.003500,0.001756,-0.006849,-0.001427,0.005605,0.037975,-0.003668,-0.000775,0.036611,-0.003848,-0.000116,0.001294,-0.000223,-0.001318,0.070333,-0.001400,-0.004727,0.063437,0.016385,-0.006353,0.049758,0.027803,0.000415,0.044783,0.019165,-0.008694,0.057878,-0.014788,-0.001923,0.041403,-0.024908,-0.005532,0.034354,-0.031859,-0.011422
0.065203,-0.000329,-0.002153,0.051698,-0.003702,-0.001120,0.039394,-0.005947,0.009238,-0.004752,-0.002902,0.012742,0.044228,-0.004927,-0.000902,0.041115,-0.005140,0.000001,0.006625,-0.002232,-0.001776,0.075130,0.001854,-0.015039,0.074064,0.017624,-0.015350,0.067660,0.024613,-0.014343,0.068956,0.017785,-0.028894,0.067630,-0.010156,-0.013843,0.052029,-0.019848,-0.016681,0.043890,-0.026041,-0.017211
0.067935,-0.003294,-0.001637,0.070453,-0.004690,-0.000789,0.031242,-0.009444,0.020701,-0.003705,-0.002265,0.023597,0.050866,-0.005919,-0.000901,0.044972,-0.006019,-0.000201,0.011473,-0.005163,-0.002721,0.077397,0.004866,-0.023851,0.081469,0.017858,-0.023082,0.080357,0.021697,-0.027064,0.088983,0.020216,-0.043994,0.072195,-0.007692,-0.023406,0.062965,-0.013217,-0.024655,0.055299,-0.017736,-0.020664
0.064888,-0.008087,-0.001759,0.095219,-0.004783,-0.001419,0.015856,-0.013611,0.037083,-0.001117,0.001997,0.039221,0.056906,-0.005696,-0.001748,0.047270,-0.005404,-0.001852,0.016105,-0.008553,-0.004868,0.076551,0.006811,-0.030879,0.084419,0.014734,-0.029354,0.084993,0.017951,-0.037441,0.101155,0.024606,-0.053563,0.070366,-0.007011,-0.030188,0.071167,-0.005819,-0.030315,0.065309,-0.008469,-0.023614
0.054665,-0.014405,-0.003480,0.123975,-0.004671,-0.003625,-0.005404,-0.018612,0.058812,0.010231,0.010652,0.060032,0.062092,-0.004362,-0.004169,0.047777,-0.003272,-0.005629,0.025619,-0.012968,-0.008439,0.073216,0.006719,-0.036488,0.081958,0.006258,-0.034922,0.080426,0.011809,-0.046768,0.102586,0.027565,-0.058295,0.063058,-0.006707,-0.034589,0.073802,0.001407,-0.035201,0.069907,0.000453,-0.027942
0.038166,-0.021847,-0.006901,0.148606,-0.006656,-0.007309,-0.025371,-0.024570,0.085144,0.040164,0.024238,0.085150,0.066657,-0.003049,-0.008132,0.046876,-0.000808,-0.011495,0.048277,-0.019860,-0.013057,0.069350,0.004152,-0.041542,0.074111,-0.008091,-0.041253,0.068154,0.001799,-0.056767,0.092811,0.025360,-0.059453,0.052895,-0.005264,-0.037516,0.069082,0.007197,-0.040895,0.065659,0.007918,-0.034856
0.019050,-0.029850,-0.011240,0.152032,-0.013882,-0.011711,-0.029017,-0.029814,0.113575,0.096050,0.043956,0.112156,0.068426,-0.002586,-0.012954,0.045868,0.000372,-0.018654,0.090423,-0.029809,-0.017917,0.067184,0.000110,-0.047260,0.061600,-0.026594,-0.050172,0.050827,-0.012308,-0.067532,0.073754,0.015812,-0.058682,0.042510,-0.001583,-0.040153,0.055295,0.009717,-0.049018,0.049662,0.012601,-0.044913
0.002358,-0.037576,-0.015452,0.110131,-0.029275,-0.015986,0.004862,-0.030171,0.139596,0.178741,0.071131,0.137086,0.058780,-0.002195,-0.017965,0.049836,-0.001455,-0.025273,0.152497,-0.041114,-0.021657,0.067617,-0.003255,-0.054271,0.045130,-0.045970,-0.062563,0.027804,-0.027489,-0.074747,0.046434,0.000366,-0.056272,0.033667,0.004982,-0.043309,0.028093,0.005577,-0.062249,0.017800,0.011920,-0.059248
-0.007841,-0.044382,-0.019349,0.002518,-0.054792,-0.020148,0.094207,-0.021382,0.156664,0.281413,0.104900,0.154156,0.020233,0.000545,-0.023611,0.072025,-0.009071,-0.028736,0.228834,-0.050714,-0.022605,0.069730,-0.004428,-0.061556,0.026541,-0.064110,-0.076644,-0.010254,-0.034968,-0.067733,0.006683,-0.014147,-0.048404,0.029100,0.015051,-0.046975,-0.022783,-0.012344,-0.086903,-0.038687,0.000522,-0.082682
-0.010047,-0.049943,-0.024225,-0.170480,-0.090057,-0.025464,0.238856,-0.003154,0.157011,0.389935,0.140511,0.156013,-0.068129,0.008120,-0.031801,0.134636,-0.027375,-0.027078,0.310196,-0.056403,-0.020126,0.071987,-0.003965,-0.066665,0.012171,-0.082862,-0.087443,-0.084598,-0.018028,-0.029701,-0.056136,-0.015175,-0.026598,0.035742,0.030380,-0.050918,-0.116183,-0.056884,-0.134755,-0.137489,-0.029748,-0.126160
-0.005051,-0.053517,-0.032102,-0.376265,-0.129986,-0.033686,0.411433,0.019380,0.134201,0.484730,0.170459,0.135968,-0.215812,0.020933,-0.044765,0.262191,-0.062531,-0.020363,0.386378,-0.057398,-0.015772,0.073839,-0.003806,-0.066896,0.015667,-0.108610,-0.087733,-0.227642,0.047891,0.059356,-0.155339,0.011365,0.017631,0.065681,0.055944,-0.055367,-0.281885,-0.146618,-0.218548,-0.309035,-0.085887,-0.202395
